context,triplets
"The feature appears in U . S . Navy aerial photographs taken in the 1960s and in imagery obtained by the NASA Earth Resources Technology Satellite ( ERTS-1 ) , 1973–74 . ",<triplet> Earth Resources Technology Satellite <subj> NASA <obj> operator
Morrell Point is the northernmost point on the west coast of Thule Island in the South Sandwich Islands . ,<triplet> Morrell Point <subj> South Sandwich Islands <obj> located in the administrative territorial entity <triplet> Thule Island <subj> South Sandwich Islands <obj> located in the administrative territorial entity
"He served as the head football coach at McPherson College in McPherson , Kansas for five seasons , from 1993 to 1997 , and compiling a record of 15–33 . ","<triplet> McPherson College <subj> McPherson, Kansas <obj> located in the administrative territorial entity"
"One such example comes from Marjane Satrapi's illustrated memoir ""Persepolis"" , wherein the author relates how she and her mother were shocked to learn from one of their neighbors in Tehran that gold painted plastic keys to paradise had been distributed to the boys in her son's school . ","<triplet> Marjane Satrapi's <subj> ""Persepolis"" <obj> notable work <triplet> ""Persepolis"" <subj> Marjane Satrapi's <obj> author"
Maira María Luisa Sepúlveda ( 14 August 18984 April 1958 ) was a Chilean composer and music educator . ,<triplet> María Luisa Sepúlveda <subj> 14 August 1898 <obj> date of birth <subj> 4 April 1958 <obj> date of death
"Mie Augustesen ( born 19 July 1988 , in Vejle ) is a Danish handball player . ",<triplet> Mie Augustesen <subj> 19 July 1988 <obj> date of birth <subj> Vejle <obj> place of birth <subj> handball <obj> sport
"As of March 2015 , Brazil has not upgraded its Representative Office in Ramallah to a diplomatic mission , keeping its diplomatic ties with Palestine to the pre-recognition stance . ",<triplet> Ramallah <subj> Palestine <obj> country
Koupossitéré Camara ( born 15 December 1986 ) is a Togolese international footballer who plays as a midfielder for ASKO Kara . ,<triplet> Koupossitéré Camara <subj> 15 December 1986 <obj> date of birth <subj> midfielder <obj> position played on team / speciality <subj> ASKO Kara <obj> member of sports team <triplet> midfielder <subj> footballer <obj> sport <triplet> ASKO Kara <subj> Togo <obj> country <subj> footballer <obj> sport
Pekina is a town and locality in the Mid North region of South Australia . ,<triplet> Pekina <subj> South Australia <obj> located in the administrative territorial entity <triplet> Mid North <subj> South Australia <obj> located in the administrative territorial entity
"Kendall Basin is an ice-free cirque at the northwest end of the Herbert Mountains , in the Shackleton Range , Antarctica . ",<triplet> Herbert Mountains <subj> Shackleton Range <obj> mountain range
"His voice work includes Bunga on the Disney Junior series ""The Lion Guard"" and the titular character on the DreamWorks on Universal Kids series ""Where's Waldo ? "" . ",<triplet> Where's Waldo? <subj> DreamWorks <obj> production company
"Radigan Point is a snow-covered headland lying between Verdi Inlet and Brahms Inlet , marking the north extremity of the Harris Peninsula , a minor peninsula protrudes northward from the Beethoven Peninsula , situated in the southwest portion of Alexander Island , Antarctica . ",<triplet> Radigan Point <subj> headland <obj> instance of <triplet> headland <subj> peninsula <obj> subclass of <triplet> Alexander Island <subj> Antarctica <obj> continent
Marvin Knoll ( born 5 February 1990 ) is a German professional footballer who plays for FC St . Pauli . ,<triplet> Marvin Knoll <subj> 5 February 1990 <obj> date of birth <subj> footballer <obj> sport <triplet> FC St. Pauli <subj> footballer <obj> sport
"Norrköping Dolphins is a professional basketball club from Norrköping , Sweden . ",<triplet> Norrköping Dolphins <subj> Sweden <obj> country <triplet> Norrköping <subj> Sweden <obj> country
"Lumus Rock is a rock located west-northwest of Sooty Rock , marking the southwestern extremity of the Wilhelm Archipelago off the Graham Coast of the Antarctic Peninsula , Antarctica . ",<triplet> Lumus Rock <subj> Wilhelm Archipelago <obj> part of <triplet> Sooty Rock <subj> Wilhelm Archipelago <obj> part of
"In Russia , it occurred in the lowest part of the Volga River up to Astrakhan until 1977 , but has thereafter spread upstream . ",<triplet> Astrakhan <subj> Volga River <obj> located in or next to body of water
Zohib Islam Amiri ( ; born 15 February 1990 ) sometimes also called Haroon Fakhruddin is a professional Afghan footballer who is a Midfielder and is currently playing for the Afghanistan national football team and Real Kashmir FC in the I League . ,<triplet> Zohib Islam Amiri <subj> 15 February 1990 <obj> date of birth <subj> Afghan <obj> country of citizenship <subj> footballer <obj> sport <subj> Afghanistan national football team <obj> member of sports team <triplet> Midfielder <subj> footballer <obj> sport <triplet> Afghanistan national football team <subj> footballer <obj> sport <triplet> Real Kashmir FC <subj> footballer <obj> sport <triplet> I League <subj> footballer <obj> sport
"Phobos Ridge is a rocky ridge of sandstones and shales forming the west side of Mars Glacier in the southeast corner of Alexander Island , Antarctica . ",<triplet> Alexander Island <subj> Antarctica <obj> continent
"Sergey Golyaev ( born November 3 , 1981 ) is a Russian mixed martial artist . ","<triplet> Sergey Golyaev <subj> November 3, 1981 <obj> date of birth"
"Mount Morley is a mountain rising to about in the southern part of the Lassus Mountains , in northwestern Alexander Island , Antarctica . ",<triplet> Mount Morley <subj> mountain <obj> instance of <subj> Lassus Mountains <obj> mountain range <triplet> Alexander Island <subj> Antarctica <obj> continent
"The Gods Are Athirst ( , also translated as The Gods Are Thirsty or The Gods Will Have Blood ) is a 1912 novel by Anatole France . ",<triplet> The Gods Are Athirst <subj> 1912 <obj> publication date <subj> Anatole France <obj> author <triplet> Anatole France <subj> The Gods Are Athirst <obj> notable work
"Pastel de Camiguín , or simply pastel , is a Filipino soft bun with ""yema"" ( custard ) filling originating from the province of Camiguin . ",<triplet> Camiguin <subj> province <obj> instance of
"The Battle of Kismayo ( 2009 ) erupted on 1 October 2009 , after the Islamist alliance occupying Kismayo , Somalia broke down . ",<triplet> Battle of Kismayo (2009) <subj> 1 October 2009 <obj> start time <subj> Kismayo <obj> location <triplet> Kismayo <subj> Somalia <obj> country
"It is known from Mysore , India , as well as Sri Lanka . ",<triplet> Mysore <subj> India <obj> country
"Rea Rocks is a group of rocks in the middle of Arthur Glacier , 6 nautical miles ( 11 km ) east of Mount Rea , in the Ford Ranges of Marie Byrd Land . ",<triplet> Arthur Glacier <subj> Mount Rea <obj> located on terrain feature <subj> Ford Ranges <obj> located on terrain feature
"Mount Rabben is a mountain , 1 , 540 m , standing 2 nautical miles ( 3 . 7 km ) northeast of Mount Griffiths in the Napier Mountains , Enderby Land . ",<triplet> Mount Rabben <subj> mountain <obj> instance of <subj> Napier Mountains <obj> mountain range <triplet> Mount Griffiths <subj> Napier Mountains <obj> mountain range
"Mount Kempe is a peak , high , midway between Mount Huggins and Mount Dromedary in the Royal Society Range of Victoria Land , Antarctica . ",<triplet> Mount Kempe <subj> Royal Society Range <obj> mountain range
"All About Accounting """" is a semiweekly Ukrainian and Russian-language newspaper based in Kyiv ( Ukraine ) with a run of 93 , 100 . ",<triplet> All About Accounting <subj> Ukraine <obj> country of origin <triplet> Ukrainian <subj> Ukraine <obj> country <triplet> Kyiv <subj> Russian <obj> language used <subj> Ukraine <obj> country <triplet> Ukraine <subj> Russian <obj> language used <subj> Kyiv <obj> contains administrative territorial entity
The 1986 Milan Indoor ( also known as the 1986 Fila Trophy for sponsorship reasons ) was a men's tennis tournament played on indoor carpet courts . ,<triplet> 1986 Milan Indoor <subj> tennis <obj> sport <triplet> carpet court <subj> tennis <obj> sport
